Eye_Left_Blink;Eye_Left_Wide;Eye_Left_Right;Eye_Left_Left;Eye_Left_Up;Eye_Left_Down;Eye_Right_Blink;Eye_Right_Wide;Eye_Right_Right;Eye_Right_Left;Eye_Right_Up;Eye_Right_Down;Eye_Frown;Eye_Left_Squeeze;Eye_Right_Squeeze;Jaw_Right;Jaw_Left;Jaw_Forward;Jaw_Open;Mouth_Ape_Shape;Mouth_Upper_Right;Mouth_Upper_Left;Mouth_Lower_Right;Mouth_Lower_Left;Mouth_Upper_Overturn;Mouth_Lower_Overturn;Mouth_Pout;Mouth_Smile_Right;Mouth_Smile_Left;Mouth_Sad_Right;Mouth_Sad_Left;Cheek_Puff_Right;Cheek_Puff_Left;Cheek_Suck;Mouth_Upper_UpRight;Mouth_Upper_UpLeft;Mouth_Lower_DownRight;Mouth_Lower_DownLeft;Mouth_Upper_Inside;Mouth_Lower_Inside;Mouth_Lower_Overlay;Tongue_LongStep1;Tongue_Left;Tongue_Right;Tongue_Up;Tongue_Down;Tongue_Roll;Tongue_LongStep2;Tongue_UpRight_Morph;Tongue_UpLeft_Morph;Tongue_DownRight_Morph;Tongue_DownLeft_Morph;EmotionNum;Emotion
"0,014597 ";"0,116128 ";"0,034082 ";"-0,034082 ";"0,116128 ";"0,000000 ";"0,019331 ";"0,116128 ";"0,034082 ";"-0,034082 ";"0,116128 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,031441 ";"0,000000 ";"0,040918 ";"0,000000 ";"0,000000 ";"0,032218 ";"0,000000 ";"0,054720 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"5,000000 ";Neutral
"0,682107 ";"0,000000 ";"0,039738 ";"-0,039738 ";"0,000000 ";"0,008930 ";"0,595193 ";"0,000000 ";"0,035315 ";"-0,035315 ";"0,000000 ";"0,008930 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,156238 ";"0,000000 ";"0,004915 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,136806 ";"0,000000 ";"0,125363 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,277925 ";"0,336388 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,031083 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"6,000000 ";Sad
"0,000000 ";"0,619209 ";"0,012279 ";"-0,012279 ";"0,619209 ";"0,000000 ";"0,000000 ";"0,619209 ";"0,012279 ";"-0,012279 ";"0,619209 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,214176 ";"0,000000 ";"0,791257 ";"0,000000 ";"0,000000 ";"0,102458 ";"0,000000 ";"0,183023 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000886 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"7,000000 ";Surprised
"0,000000 ";"0,327096 ";"0,040157 ";"-0,040157 ";"0,327096 ";"0,000000 ";"0,000000 ";"0,327096 ";"0,040157 ";"-0,040157 ";"0,327096 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000139 ";"0,027392 ";"0,297666 ";"0,869471 ";"0,000000 ";"0,132161 ";"0,000000 ";"0,185439 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,360026 ";"0,366075 ";"0,004380 ";"0,001292 ";"0,000000 ";"0,071702 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"1,000000 ";Afraid
"0,352696 ";"0,000000 ";"0,041305 ";"-0,041305 ";"0,000000 ";"0,000000 ";"0,253646 ";"0,000000 ";"0,041305 ";"-0,041305 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,010319 ";"0,001031 ";"0,526740 ";"0,000000 ";"0,000000 ";"0,021522 ";"0,000151 ";"0,035791 ";"0,000141 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"2,000000 ";Angry
"0,290603 ";"0,000000 ";"0,031140 ";"-0,031140 ";"0,000000 ";"0,000000 ";"0,224646 ";"0,000000 ";"0,031140 ";"-0,031140 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,047716 ";"0,005258 ";"0,000000 ";"0,000000 ";"0,082156 ";"0,000000 ";"0,099654 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,542463 ";"0,540065 ";"0,232387 ";"0,238547 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"3,000000 ";Disgust
"0,009671 ";"0,177012 ";"0,000000 ";"0,000000 ";"0,177012 ";"0,000000 ";"0,026820 ";"0,177012 ";"0,000000 ";"0,000000 ";"0,177012 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,026217 ";"0,000056 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,080244 ";"0,000000 ";"0,089618 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,955565 ";"0,972641 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,161659 ";"0,170638 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,051714 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"4,000000 ";Happy
"0,110109 ";"0,000000 ";"0,025290 ";"-0,025290 ";"0,000000 ";"0,000000 ";"0,112143 ";"0,000000 ";"0,025290 ";"-0,025290 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,028727 ";"0,000000 ";"0,147292 ";"0,000000 ";"0,000000 ";"0,009563 ";"0,000105 ";"0,010247 ";"0,000188 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000023 ";"0,000473 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"5,000000 ";Neutral
"0,000000 ";"0,303841 ";"0,014425 ";"-0,014425 ";"0,303841 ";"0,000000 ";"0,000000 ";"0,303841 ";"0,014425 ";"-0,014425 ";"0,303841 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,066685 ";"0,464601 ";"0,000000 ";"0,000000 ";"0,040290 ";"0,000000 ";"0,037525 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,474706 ";"0,393216 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"6,000000 ";Sad
"0,000000 ";"0,305771 ";"0,004523 ";"-0,004523 ";"0,305771 ";"0,000000 ";"0,000000 ";"0,305771 ";"0,004523 ";"-0,004523 ";"0,305771 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,302657 ";"0,154611 ";"0,730790 ";"0,000000 ";"0,000000 ";"0,033697 ";"0,000000 ";"0,112378 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,020109 ";"0,019372 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"7,000000 ";Surprised
